evidence_id,record_class,schema_version,nav_section,nav_order,nav_title,primary_subject,summary,status,valid_as_of,completed_at,owner,metadata_source,migration_status,confidence,source_path
SAGE-K3-OBSERVABILITY-20260725-001,sage-current,1.2,benchmarks,100,Capture pre-logging Kubecost baseline,Centralized logging cost baseline,Preserves checksum-verified 24-hour and 72-hour Kubecost control measurements before centralized logging changes cluster resource use and cost.,validated,2026-07-25,2026-07-25T21:01:00-05:00,Don Buddenbaum,authoritative,current,high,markdown/benchmarks/kalaxy3-pre-logging-kubecost-baseline-evidence.md
SAGE-K3-FINOPS-20260724-001,sage-legacy,1.0,finops,500,"Kubecost Homelab Cost Calibration, Network Measurement, and Shared Provider-C...",Kubecost chart 3.2.1,"Kalaxy3 Kubecost 3.2.1 is now configured as a reproducible homelab engineering-cost model rather than an uncalibrated cloud-cost installation. Version-controlled Ansible inputs calculate and render custom CPU, RAM, GPU, storage, network, and shared-overhead values; persistent node labels describe hardware, cost, role, GPU, storage, and on-premises topolog...",validated,2026-07-25,2026-07-25T16:57:06-05:00,Don Buddenbaum,inferred,recommended,medium,markdown/installation/kalaxy3-kubecost-calibration-sage-evidence.md
SAGE-K3-GOVERNANCE-20260725-003,sage-current,1.2,governance,30,Preserve legacy evidence and generate navigation,SAGE evidence catalog,"Adds strict navigation metadata for new SAGE records while preserving and indexing schema 1.0, schema 1.1, and pre-SAGE evidence without rewriting historical source files.",validated,2026-07-25,2026-07-25T18:25:00-05:00,Don Buddenbaum,authoritative,current,high,markdown/operations/kalaxy3-sage-legacy-evidence-navigation-evidence.md
SAGE-K3-GOVERNANCE-20260726-001,sage-current,1.2,governance,40,Validate interchangeable Kalaxy3 automation controllers,Kalaxy3 automation controller portability,Verifies that clean iMac and Mac mini controllers reproduce the same repository-managed Python and Ansible environment despite different system Python versions.,validated,2026-07-26,2026-07-26T14:51:00-05:00,Don Buddenbaum,authoritative,current,high,markdown/operations/kalaxy3-controller-machine-portability-evidence.md
SAGE-K3-GOVERNANCE-20260726-003,sage-current,1.2,governance,40,Validate the Kalaxy3 Daux landing page,Kalaxy3 Daux landing page,"Validates the Kalaxy3 Daux landing-page source, container bootstrap, local render, visual identity, and clean feature-branch preservation without changing branch publication automation.",validated,2026-07-26,2026-07-26T22:46:00-05:00,Don Buddenbaum,authoritative,current,high,markdown/governance/kalaxy3-daux-landing-page-sage-evidence.md
SAGE-K3-GOVERNANCE-20260726-002,sage-current,1.2,governance,50,Pause logging work to close the SAGE enforcement gap,SAGE enforcement guardrails,"Documents the machine-local Helm escape path, the missing preventive SAGE controls, and the decision to checkpoint and pause centralized logging until repository and admission guardrails are implemented.",validated,2026-07-26,2026-07-26T16:20:00-05:00,Don Buddenbaum,authoritative,current,high,markdown/governance/kalaxy3-sage-guardrail-gap-observability-pause-evidence.md
SAGE-K3-SAGE-20260729-001,sage-current,1.2,governance,260,SAGE continuous-improvement foundation,SAGE continuous improvement,"Documents the repository-owned SAGE continuous-improvement foundation, its staged lifecycle controls, validation results, preserved failures, and closed deployment gate.",validated,2026-07-29,2026-07-29T00:00:00-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/governance/kalaxy3-sage-continuous-improvement-foundation-evidence.md
SAGE-K3-SAGE-20260729-002,sage-current,1.2,governance,270,Validate the first SAGE metrics pilot,SAGE continuous improvement metrics pilot,"Documents the first repository-owned live SAGE metrics pilot, truthful null handling, scalar-neutral predictions, repository-only lifecycle validation, and closed deployment gate.",validated,2026-07-30,2026-07-29T23:52:25-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/governance/kalaxy3-sage-metrics-pilot-evidence.md
SAGE-K3-GUARDRAIL-20260731-001,sage-current,1.2,governance,410,Recover guardrails and validate active logging,SAGE actionable failures,"Documents the reusable SAGE actionable-failure framework, centralized-logging lifecycle recovery, vault-tolerant metadata handling, and live seven-node Loki validation.",validated,2026-07-31,2026-07-31T22:01:00-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/governance/kalaxy3-actionable-guardrail-recovery-evidence.md
SAGE-K3-GUARDRAIL-20260731-002,sage-current,1.2,governance,420,Validate PR #5 source-only guardrails,SAGE CI portability,Documents the three post-publication CI repairs that separated repository authority from runtime prerequisites and made PR 5 source-only guardrails pass without weakening operator-runtime validation.,validated,2026-07-31,2026-07-31T23:17:00-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/governance/kalaxy3-actionable-guardrail-ci-portability-evidence.md
SAGE-K3-SAGE-20260731-001,sage-current,1.2,governance,730,SAGE metrics pilot closeout,SAGE continuous-improvement closeout,"Validates the metrics-pilot post-session review, recurring helper-runtime lesson, populated action-registry controls, and registration of the resulting improvement action.",validated,2026-07-31,2026-07-31T00:24:37-05:00,Kalaxy3 architecture,authoritative,current,high,markdown/governance/kalaxy3-sage-metrics-pilot-closeout-evidence.md
LEGACY-K3-7C726F97ED,legacy-evidence,not-applicable,installation,500,AMD64 NoCloud Seed USB Helper,AMD64 NoCloud Seed USB Helper,This guide creates one script that prepares the amd64 NoCloud seed USB for Ubuntu Server autoinstall.,historical,2026-06-01,2026-06-01T19:16:12-05:00,not-captured,inferred,not-started,low,markdown/installation/old/amd64-nocloud-seed-helper.md
LEGACY-K3-F5F16E53BD,legacy-evidence,not-applicable,installation,500,AMD64 Node and Longhorn installation and Rebuild Guide,AMD64 Node,"Project: Kalaxy3 Completed: July 19, 2026, America/Chicago Kubernetes timestamps: July 20, 2026 UTC Target path: markdown/installation/kalaxy3-amd64-node-and-longhorn-installation-evidence.md Node: amd64-01 Node address: 192.168.2.61 K3s version: v1.36.2+k3s1 Longhorn version: v1.12.0",historical,2026-07-19,2026-07-19T22:06:41-05:00,not-captured,inferred,not-started,low,markdown/installation/kalaxy3-amd64-node-and-longhorn-installation-evidence.md
LEGACY-K3-14040417ED,legacy-evidence,not-applicable,installation,500,amd64-02 K3s and Longhorn Node Addition,amd64,This document chronicles the addition of amd64-02 to the Kalaxy3 cluster as:,historical,2026-07-21,2026-07-21T17:19:10-05:00,not-captured,inferred,not-started,low,markdown/installation/kalaxy3-amd64-02-k3s-longhorn-node-addition.md
